Year,20–24 Years,25–34 Years,35–44 Years,45–54 Years,55+ Years
2000,8.00%,3.50%,3.00%,3.30%,3.00%
2001,8.30%,4.00%,3.30%,3.40%,3.10%
2002,9.30%,4.80%,4.20%,3.90%,3.50%
2003,9.90%,5.20%,4.40%,4.10%,3.70%
2004,9.50%,4.90%,4.10%,3.90%,3.60%
2005,8.90%,4.70%,3.80%,3.60%,3.40%
2006,8.10%,4.40%,3.50%,3.50%,3.20%
2007,8.00%,4.70%,3.80%,3.60%,3.30%
2008,13.00%,6.10%,5.40%,4.60%,4.00%
2009,18.00%,9.30%,8.30%,6.80%,6.60%
2010,16.00%,10.30%,8.50%,6.70%,6.80%
2011,14.00%,9.40%,7.90%,6.00%,6.40%
2012,13.00%,8.50%,7.10%,5.70%,6.00%
2013,12.00%,7.80%,6.50%,5.20%,5.80%
2014,11.00%,6.50%,5.30%,4.40%,5.50%
2015,9.00%,5.40%,4.50%,3.70%,5.00%
2016,8.00%,4.70%,4.00%,3.60%,4.30%
2017,6.60%,3.60%,3.10%,3.10%,3.30%
2018,6.30%,3.40%,2.90%,3.00%,3.20%
2019,5.90%,3.20%,2.70%,2.90%,3.10%
2020,16.00%,10.30%,8.00%,7.40%,6.90%
2021,11.00%,6.50%,5.10%,5.00%,4.80%
2022,8.00%,4.50%,3.80%,3.70%,3.60%
2023,7.50%,4.20%,3.50%,3.40%,3.30%
2024,7.00%,4.00%,3.30%,3.20%,3.10%
